,origin,destination,trips,start_lat,start_lng,end_lat,end_lng
4635,Madison St & 1 St,City Hall - Washington St & 1 St,1436,40.73879,-74.0393,40.73736,-74.03097
5721,Newport Pkwy,Newport PATH,1433,40.7287448,-74.0321082,40.7272235,-74.0337589
23,11 St & Washington St,City Hall - Washington St & 1 St,1399,40.74998490907138,-74.02715027332306,40.73736,-74.03097
82,11 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,1391,40.74998490907138,-74.02715027332306,40.73698221818716,-74.02778059244156
3834,Hudson St & 4 St,Hoboken Terminal - River St & Hudson Pl,1381,40.74097260864355,-74.02860336005688,40.7360676564825,-74.02912706136703
3202,Hamilton Park,Hamilton Park,1380,40.727595966,-74.044247311,40.727595966,-74.044247311
3707,Hoboken Terminal - River St & Hudson Pl,4 St & Grand St,1362,40.7360676564825,-74.02912706136703,40.7422579775645,-74.03511106967926
6807,Washington St,Washington St,1351,40.7242941,-74.0354826,40.7242941,-74.0354826
3729,Hoboken Terminal - River St & Hudson Pl,Columbus Park - Clinton St & 9 St,1329,40.7360676564825,-74.02912706136703,40.74816121065146,-74.0324530005455
3746,Hoboken Terminal - River St & Hudson Pl,Hoboken Terminal - River St & Hudson Pl,1305,40.7360676564825,-74.02912706136703,40.7360676564825,-74.02912706136703
2224,Columbus Drive,Columbus Drive,1302,40.71835519823214,-74.03891444206238,40.71835519823214,-74.03891444206238
149,12 St & Sinatra Dr N,Hoboken Terminal - River St & Hudson Pl,1298,40.75060414236896,-74.02402013540268,40.7360676564825,-74.02912706136703
4687,Madison St & 1 St,South Waterfront Walkway - Sinatra Dr & 1 St,1293,40.73879,-74.0393,40.73698221818716,-74.02778059244156
5631,Newport PATH,Newport Pkwy,1281,40.7272235,-74.0337589,40.7287448,-74.0321082
2710,Fairmount Ave,Bergen Ave & Sip Ave,1278,40.72572613742557,-74.07195925712585,40.73100888698729,-74.06443700194359
1114,Bergen Ave,Bergen Ave & Sip Ave,1275,40.722103786686034,-74.07145500183105,40.73100888698729,-74.06443700194359
6710,Warren St,Warren St,1274,40.7211236,-74.03805095,40.7211236,-74.03805095
3725,Hoboken Terminal - River St & Hudson Pl,Clinton St & 7 St,1272,40.7360676564825,-74.02912706136703,40.74542,-74.03332
3747,Hoboken Terminal - River St & Hudson Pl,Hudson St & 4 St,1260,40.7360676564825,-74.02912706136703,40.74097260864355,-74.02860336005688
656,8 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,1258,40.74598388291562,-74.02819901704788,40.73593758446329,-74.03030455112457
1905,City Hall - Washington St & 1 St,Hoboken Ave at Monmouth St,1258,40.73736,-74.03097,40.73520838045357,-74.04696375131607
49,11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,1247,40.74998490907138,-74.02715027332306,40.7360676564825,-74.02912706136703
1793,City Hall,City Hall,1246,40.7177325,-74.043845,40.7177325,-74.043845
3230,Hamilton Park,Newport PATH,1242,40.727595966,-74.044247311,40.7272235,-74.0337589
1826,City Hall,Liberty Light Rail,1234,40.7177325,-74.043845,40.711242,-74.055701
5729,Newport Pkwy,South Waterfront Walkway - Sinatra Dr & 1 St,1233,40.7287448,-74.0321082,40.73698221818716,-74.02778059244156
3835,Hudson St & 4 St,Hudson St & 4 St,1232,40.74097260864355,-74.02860336005688,40.74097260864355,-74.02860336005688
5630,Newport PATH,Newport PATH,1231,40.7272235,-74.0337589,40.7272235,-74.0337589
2308,Columbus Park - Clinton St & 9 St,City Hall - Washington St & 1 St,1229,40.74816121065146,-74.0324530005455,40.73736,-74.03097
3659,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Terminal - River St & Hudson Pl,1224,40.73593758446329,-74.03030455112457,40.7360676564825,-74.02912706136703
