,origin,destination,trips,start_lat,start_lng,end_lat,end_lng
3657,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,5565,40.73593758446329,-74.03030455112457,40.73520838045357,-74.04696375131607
6290,South Waterfront Walkway - Sinatra Dr & 1 St,South Waterfront Walkway - Sinatra Dr & 1 St,5439,40.73698221818716,-74.02778059244156,40.73698221818716,-74.02778059244156
4976,Marin Light Rail,Grove St PATH,4113,40.71458403535893,-74.04281705617905,40.71958611647166,-74.04311746358871
3574,Hoboken Ave at Monmouth St,Hoboken Terminal - Hudson St & Hudson Pl,4083,40.73520838045357,-74.04696375131607,40.73593758446329,-74.03030455112457
3135,Grove St PATH,Marin Light Rail,3973,40.71958611647166,-74.04311746358871,40.71458403535893,-74.04281705617905
181,12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,3964,40.75060414236896,-74.02402013540268,40.73698221818716,-74.02778059244156
4503,Liberty Light Rail,Liberty Light Rail,3696,40.7112423,-74.0557013,40.711242,-74.055701
6211,South Waterfront Walkway - Sinatra Dr & 1 St,12 St & Sinatra Dr N,3495,40.73698221818716,-74.02778059244156,40.75060414236896,-74.02402013540268
3201,Hamilton Park,Grove St PATH,3203,40.727595966,-74.044247311,40.71958611647166,-74.04311746358871
5722,Newport Pkwy,Newport Pkwy,3131,40.7287448,-74.0321082,40.7287448,-74.0321082
6212,South Waterfront Walkway - Sinatra Dr & 1 St,14 St Ferry - 14 St & Shipyard Ln,3027,40.73698221818716,-74.02778059244156,40.752961,-74.024353
285,14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,3026,40.752961,-74.024353,40.73698221818716,-74.02778059244156
3112,Grove St PATH,Hamilton Park,2956,40.71958611647166,-74.04311746358871,40.727595966,-74.044247311
97,12 St & Sinatra Dr N,12 St & Sinatra Dr N,2952,40.75060414236896,-74.02402013540268,40.75060414236896,-74.02402013540268
3128,Grove St PATH,Liberty Light Rail,2847,40.71958611647166,-74.04311746358871,40.711242,-74.055701
3670,Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 1 St,2840,40.73593758446329,-74.03030455112457,40.73879,-74.0393
3284,Harborside,Columbus Dr at Exchange Pl,2735,40.7192517,-74.034234,40.71687,-74.03281
4487,Liberty Light Rail,Grove St PATH,2692,40.7112423,-74.0557013,40.71958611647166,-74.04311746358871
2561,Dixon Mills,Grove St PATH,2556,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
3126,Grove St PATH,Lafayette Park,2530,40.71958611647166,-74.04311746358871,40.71346382669195,-74.06285852193832
